id,roi,side,dice,kappa,accuracy,sensitivity,specificity
011,hc,left,0.8790,0.8788,0.9999,0.8789,0.9999
011,hc,right,0.8824,0.8780,0.9999,0.8780,0.9999
011,vc,left,0.7412,0.7246,0.9999,0.7246,1.0000
011,vc,right,0.6822,0.7404,0.9999,0.7405,0.9999
090,hc,left,0.9281,0.9350,0.9999,0.9350,1.0000
090,hc,right,0.9120,0.9338,0.9999,0.9338,0.9999
090,vc,left,0.7944,0.7323,0.9999,0.7324,1.0000
090,vc,right,0.7528,0.6881,0.9999,0.6881,1.0000
074,hc,left,0.9075,0.9076,0.9999,0.9077,1.0000
074,hc,right,0.9189,0.9189,0.9999,0.9190,1.0000
074,vc,left,0.7603,0.7370,0.9999,0.7370,1.0000
074,vc,right,0.7688,0.7113,0.9999,0.7114,1.0000
017,hc,left,0.8955,0.8777,0.9999,0.8777,0.9999
017,hc,right,0.9081,0.8875,0.9999,0.8876,1.0000
017,vc,left,0.7308,0.6993,0.9998,0.6993,0.9999
017,vc,right,0.7250,0.6835,0.9999,0.6836,0.9999
034,hc,left,0.9052,0.9072,0.9999,0.9073,1.0000
034,hc,right,0.9104,0.9075,0.9999,0.9075,1.0000
034,vc,left,0.8135,0.8050,0.9999,0.8051,1.0000
034,vc,right,0.7921,0.7519,0.9999,0.7519,1.0000
061,hc,left,0.8556,0.8164,0.9998,0.8165,0.9999
061,hc,right,0.8953,0.8910,0.9999,0.8911,0.9999
061,vc,left,0.5837,0.5631,0.9998,0.5632,0.9999
061,vc,right,0.7252,0.6706,0.9999,0.6707,1.0000
014,hc,left,0.9081,0.9310,0.9999,0.9310,0.9999
014,hc,right,0.8766,0.9212,0.9999,0.9212,0.9999
014,vc,left,0.7728,0.7689,0.9999,0.7690,0.9999
014,vc,right,0.7166,0.6675,0.9999,0.6676,0.9999
018,hc,left,0.9087,0.8783,0.9999,0.8784,1.0000
018,hc,right,0.9154,0.9302,0.9999,0.9302,0.9999
018,vc,left,0.7546,0.7637,0.9999,0.7637,0.9999
018,vc,right,0.7245,0.6639,0.9999,0.6640,1.0000
001,hc,left,0.8739,0.8257,0.9998,0.8258,1.0000
001,hc,right,0.8969,0.8695,0.9999,0.8696,1.0000
001,vc,left,0.6228,0.6395,0.9998,0.6396,0.9999
001,vc,right,0.6912,0.6181,0.9998,0.6182,1.0000
058,hc,left,0.9153,0.9136,0.9999,0.9136,1.0000
058,hc,right,0.9001,0.8628,0.9999,0.8629,1.0000
058,vc,left,0.7499,0.7466,0.9999,0.7466,0.9999
058,vc,right,0.7095,0.7289,0.9999,0.7290,0.9999
040,hc,left,0.8930,0.9319,0.9999,0.9320,0.9999
040,hc,right,0.9254,0.9288,0.9999,0.9289,1.0000
040,vc,left,0.7534,0.7847,0.9999,0.7848,0.9999
040,vc,right,0.7683,0.7719,0.9999,0.7719,1.0000
008,hc,left,0.9015,0.8633,0.9999,0.8633,1.0000
008,hc,right,0.8863,0.8445,0.9999,0.8446,1.0000
008,vc,left,0.6700,0.7961,0.9999,0.7961,0.9999
008,vc,right,0.6332,0.6774,0.9999,0.6775,0.9999
067,hc,left,0.9048,0.9405,0.9999,0.9405,0.9999
067,hc,right,0.8969,0.9372,0.9999,0.9372,0.9999
067,vc,left,0.7580,0.7519,0.9999,0.7519,0.9999
067,vc,right,0.7555,0.6766,0.9999,0.6767,1.0000
038,hc,left,0.8201,0.8595,0.9998,0.8596,0.9999
038,hc,right,0.8954,0.9033,0.9999,0.9034,0.9999
038,vc,left,0.6375,0.5893,0.9998,0.5894,0.9999
038,vc,right,0.7302,0.6500,0.9999,0.6501,1.0000
013,hc,left,0.8828,0.9022,0.9999,0.9023,0.9999
013,hc,right,0.9058,0.9352,0.9999,0.9353,0.9999
013,vc,left,0.7226,0.7157,0.9999,0.7158,0.9999
013,vc,right,0.7761,0.7285,0.9999,0.7285,1.0000
037,hc,left,0.8042,0.9533,0.9999,0.9534,0.9999
037,hc,right,0.6703,0.9003,0.9998,0.9003,0.9998
037,vc,left,0.7134,0.5726,0.9998,0.5727,1.0000
037,vc,right,0.5511,0.4100,0.9997,0.4101,1.0000
016,hc,left,0.9096,0.9115,0.9999,0.9116,0.9999
016,hc,right,0.8953,0.9170,0.9999,0.9171,0.9999
016,vc,left,0.7665,0.6525,0.9999,0.6526,1.0000
016,vc,right,0.7455,0.6349,0.9999,0.6350,1.0000
022,hc,left,0.8772,0.8657,0.9998,0.8658,0.9999
022,hc,right,0.8881,0.8853,0.9999,0.8853,0.9999
022,vc,left,0.7152,0.7504,0.9998,0.7504,0.9999
022,vc,right,0.7295,0.7349,0.9999,0.7350,0.9999
075,hc,left,0.8986,0.8928,0.9999,0.8929,0.9999
075,hc,right,0.9016,0.8672,0.9999,0.8673,1.0000
075,vc,left,0.7029,0.6707,0.9999,0.6708,0.9999
075,vc,right,0.7132,0.6439,0.9999,0.6440,1.0000
