id,roi,side,dice,kappa,accuracy,sensitivity,specificity
061,vc,right,0.6791,0.5751,0.9999,0.5752,1.0000
014,hc,left,0.9246,0.9168,0.9999,0.9169,1.0000
014,hc,right,0.9120,0.8997,0.9999,0.8997,1.0000
014,vc,left,0.7918,0.8484,0.9999,0.8484,0.9999
014,vc,right,0.7774,0.8428,0.9999,0.8428,0.9999
018,hc,left,0.8985,0.8803,0.9999,0.8804,0.9999
018,hc,right,0.9084,0.8947,0.9999,0.8948,1.0000
018,vc,left,0.7134,0.6903,0.9999,0.6903,0.9999
018,vc,right,0.7661,0.7497,0.9999,0.7498,0.9999
001,hc,left,0.8884,0.8523,0.9999,0.8524,1.0000
001,hc,right,0.8923,0.8582,0.9999,0.8583,1.0000
001,vc,left,0.5744,0.4686,0.9999,0.4687,1.0000
001,vc,right,0.7119,0.6656,0.9999,0.6657,0.9999
040,hc,left,0.8969,0.8978,0.9999,0.8978,0.9999
040,hc,right,0.9085,0.8879,0.9999,0.8880,1.0000
040,vc,left,0.7499,0.7597,0.9999,0.7597,0.9999
040,vc,right,0.7210,0.6962,0.9999,0.6963,1.0000
058,hc,left,0.9095,0.9143,0.9999,0.9144,0.9999
058,hc,right,0.8999,0.8740,0.9999,0.8741,1.0000
058,vc,left,0.7320,0.6885,0.9999,0.6886,1.0000
058,vc,right,0.7048,0.6567,0.9999,0.6568,1.0000
008,hc,left,0.8819,0.8356,0.9999,0.8357,1.0000
008,hc,right,0.8827,0.8604,0.9999,0.8605,0.9999
008,vc,left,0.7191,0.8132,0.9999,0.8132,0.9999
008,vc,right,0.5954,0.5659,0.9999,0.5660,0.9999
067,hc,left,0.9041,0.9181,0.9999,0.9181,0.9999
067,hc,right,0.9020,0.9097,0.9999,0.9098,1.0000
067,vc,left,0.7171,0.7047,0.9999,0.7047,0.9999
067,vc,right,0.7691,0.7316,0.9999,0.7316,0.9999
038,hc,left,0.9054,0.8913,0.9999,0.8914,1.0000
038,hc,right,0.9106,0.9223,0.9999,0.9224,0.9999
038,vc,left,0.7312,0.6571,0.9999,0.6572,1.0000
038,vc,right,0.7225,0.6303,0.9999,0.6304,1.0000
013,hc,left,0.9017,0.8884,0.9999,0.8884,1.0000
013,hc,right,0.9005,0.9078,0.9999,0.9079,0.9999
013,vc,left,0.7505,0.7066,0.9999,0.7066,1.0000
013,vc,right,0.7588,0.7298,0.9999,0.7299,1.0000
037,hc,left,0.8916,0.9127,0.9999,0.9127,1.0000
037,hc,right,0.8848,0.8708,0.9999,0.8708,1.0000
037,vc,left,0.8383,0.7904,0.9999,0.7905,1.0000
037,vc,right,0.7910,0.7275,0.9998,0.7276,0.9999
016,hc,left,0.8978,0.8807,0.9999,0.8808,1.0000
016,hc,right,0.8989,0.8784,0.9999,0.8784,1.0000
016,vc,left,0.7655,0.6905,0.9999,0.6906,1.0000
016,vc,right,0.7565,0.6943,0.9999,0.6944,1.0000
022,hc,left,0.8768,0.8611,0.9998,0.8612,0.9999
022,hc,right,0.9192,0.9180,0.9999,0.9181,0.9999
022,vc,left,0.6936,0.6458,0.9999,0.6459,0.9999
022,vc,right,0.7347,0.6637,0.9999,0.6638,1.0000
075,hc,left,0.9107,0.9089,0.9999,0.9090,0.9999
075,hc,right,0.9164,0.8889,0.9999,0.8890,1.0000
075,vc,left,0.6926,0.6105,0.9999,0.6106,1.0000
075,vc,right,0.6826,0.5829,0.9999,0.5830,1.0000
